language,Content type New site,URL Category OLD site,New site taxonomy: Jewish Agency Vocabulary (Main Category),article type,News type,NewsTags,P2GSchoolCurriculumLessonPlanEnrichment/Lesson Plan,P2GedTypeOfResource,P2GedBaskets,P2GedTag,P2GSchoolAudiences,P2GSchoolLengthOfActivity,P2GSchoolContent,P2GedJewishMonths,years,number of pages,URL Category OLD site
English,Article,/Festivals+and+Memorial+Days/Shavuot,Shavuot,educational materials,,,,,,,,,,,,14,Festivals+and+Memorial+Days/Shavuot
English,Article,/Festivals+and+Memorial+Days/Ninth+of+Av,Ninth of Av,educational materials,,,,,,,,,,,,8,Festivals+and+Memorial+Days/Ninth+of+Av
English,Article,/Compelling+Content/Worldwide+Community,Jewish Community,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community
English,Article,/Compelling+Content/Worldwide+Community/Anti-semitism,Antisemitism,educational materials,,,,,,,,,,,,30,Compelling+Content/Worldwide+Community/Anti-semitism
English,Article,/Compelling+Content/Worldwide+Community/Anti-semitism/Articles,Antisemitism,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community/Anti-semitism/Articles
English,Article,/Compelling+Content/Worldwide+Community/Anti-semitism/Dreyfus,Antisemitism,educational materials,,,,,,,,,,,,20,Compelling+Content/Worldwide+Community/Anti-semitism/Dreyfus
English,Article,/Compelling+Content/Worldwide+Community/Anti-semitism/Durban,Antisemitism,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community/Anti-semitism/Durban
English,Article,/Compelling+Content/Worldwide+Community/Anti-semitism/New+Face+of+Antisemitism,Antisemitism,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community/Anti-semitism/New+Face+of+Antisemitism
English,Article,/Compelling+Content/Worldwide+Community/Anti-semitism/Shattered+Image,Antisemitism,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community/Anti-semitism/Shattered+Image
English,Article,/Compelling+Content/Worldwide+Community/Connecting+to+Community,Jewish Community,educational materials,,,,,,,,,,,,130,Compelling+Content/Worldwide+Community/Connecting+to+Community
English,Article,/Compelling+Content/Worldwide+Community/israeldiaspora,Israel Diaspora Relations,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community/israeldiaspora
English,Article,/Compelling+Content/Worldwide+Community/israeldiaspora/Synagogues+in+the+CIS,Israel Diaspora Relations,educational materials,,,,,,,,,,,,10,Compelling+Content/Worldwide+Community/israeldiaspora/Synagogues+in+the+CIS
English,Article,/Compelling+Content/Jewish+History,Jewish History,educational materials,,,,,,,,,,,,10,Compelling+Content/Jewish+History
English,Article,/Compelling+Content/Jewish+History/1300+BCE++1996+CE,Jewish History,educational materials,,,,,,,,,,,,1,Compelling+Content/Jewish+History/1300+BCE++1996+CE
English,Article,/Compelling+Content/Jewish+History/3760+BCE+79+CE,Jewish History,educational materials,,,,,,,,,,,,20,Compelling+Content/Jewish+History/3760+BCE+79+CE
English,Article,/Compelling+Content/Jewish+History/Herzl,Herzl,educational materials,,,,,,,,,,,,60,Compelling+Content/Jewish+History/Herzl
English,Article,/Compelling+Content/Jewish+History/Jerusalem,Jerusalem,educational materials,,,,,,,,,,,,1,Compelling+Content/Jewish+History/Jerusalem
English,Article,/Compelling+Content/Jewish+History/Zionist+History,Historical Aliyah,educational materials,,,,,,,,,,,,1,Compelling+Content/Jewish+History/Zionist+History
English,Article,/Compelling+Content/Jewish+History/Zionist+History/Zionist+Aliyot,Historical Aliyah,educational materials,,,,,,,,,,,,10,Compelling+Content/Jewish+History/Zionist+History/Zionist+Aliyot
English,Article,/Compelling+Content/Jewish+History/Zionist+Institutions/JAFI+Timeline,Timeline,educational materials,,,,,,,,,,,,40,Compelling+Content/Jewish+History/Zionist+Institutions/JAFI+Timeline
English,Article,/Compelling+Content/Jewish+History/Zionist+Institutions/Keren+Hayesod,Zionist Organizations,educational materials,,,,,,,,,,,,10,Compelling+Content/Jewish+History/Zionist+Institutions/Keren+Hayesod
English,Article,/Compelling+Content/Jewish+History/Zionist+Institutions/KKL+JNF,Zionist Organizations,educational materials,,,,,,,,,,,,3,Compelling+Content/Jewish+History/Zionist+Institutions/KKL+JNF
English,Article,/Compelling+Content/Jewish+History/Tour,Places in Israel,educational materials,,,,,,,,,,,,30,Compelling+Content/Jewish+History/Tour
English,Article,/Compelling+Content/Jewish+History/Cultural+History,Jewish Culture,educational materials,,,,,,,,,,,,10,Compelling+Content/Jewish+History/Cultural+History
English,Article,/Compelling+Content/Jewish+History/Service,Secret Service,educational materials,,,,,,,,,,,,10,Compelling+Content/Jewish+History/Service
Hebrew,Article,/Israel+and+Zionism/concepts,Israel,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts
Hebrew,Article,/Israel+and+Zionism/concepts/mandat,Peace & Conflict,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/mandat
Hebrew,Article,/Israel+and+Zionism/concepts/struggle,Peace & Conflict,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/struggle
Hebrew,Article,/Israel+and+Zionism/concepts/aliya,Historical Aliyah,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/aliya
Hebrew,Article,/Israel+and+Zionism/concepts/Demography,Demography,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/Demography
Hebrew,Article,/Israel+and+Zionism/concepts/Is-dia,Israel Diaspora Relations,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/Is-dia
Hebrew,Article,/Israel+and+Zionism/concepts/Aliya/aliya1,Historical Aliyah,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/Aliya/aliya1
Hebrew,Article,/Israel+and+Zionism/concepts/aliya/40,Russian Aliyah,educational materials,,,,,,,,,,,,,Israel+and+Zionism/concepts/aliya/40/
Hebrew,Article,/Israel+and+Zionism/People,Leaders,educational materials,,,,,,,,,,,,,Israel+and+Zionism/People
Hebrew,Article,/Israel+and+Zionism/Timeline,Timeline,educational materials,,,,,,,,,,,,,Israel+and+Zionism/Timeline
Hebrew,Article,/Israel+and+Zionism/Timeline/120,Israel,educational materials,,,,,,,,,,,,,Israel+and+Zionism/Timeline/120
Hebrew,Article,/Israel+and+Zionism/maps,Maps,educational materials,,,,,,,,,,,,,Israel+and+Zionism/maps
Hebrew,Article,/Israel+and+Zionism/Activities,Activities,educational materials,,,,,,,,,,,,,Israel+and+Zionism/Activities
Hebrew,Article,/Antisemitism,Antisemitism,educational materials,,,,,,,,,,,,,Antisemitism
Hebrew,Article,/Demography,Demography,educational materials,,,,,,,,,,,,,Demography
Hebrew,Article,/Jewish+Life,Holidays and Memorial Days,educational materials,,,,,,,,,,,,,Jewish+Life
Hebrew,Article,/Jewish+Life/Festivals,Holidays and Memorial Days,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals
Hebrew,Article,/Jewish+Life/Festivals/Av,Ninth of Av,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Av
Hebrew,Article,/Jewish+Life/Festivals/Chanukah,Hanukkah,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Chanukah
Hebrew,Article,/Jewish+Life/Festivals/Kippur,Yom Kippur,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Kippur
Hebrew,Article,/Jewish+Life/Festivals/Pesah,Pesach,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Pesah
Hebrew,Article,/Jewish+Life/Festivals/Purim,Purim,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Purim
Hebrew,Article,/Jewish+Life/Festivals/Rosh+Hashana,Rosh Hashanah,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Rosh+Hashana
Hebrew,Article,/Jewish+Life/Festivals/Shavuot,Shavuot,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Shavuot
Hebrew,Article,/Jewish+Life/Festivals/Simhat+Tora,Shemini Atzeret & Simchat Torah,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Simhat+Tora
Hebrew,Article,/Jewish+Life/Festivals/Sukkot,Sukkot,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Sukkot
Hebrew,Article,/Jewish+Life/Festivals/Tu+Bishvat,Tu b'Shvat,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals/Tu+Bishvat
Hebrew,Article,/Jewish+Life/lifecycle,Life Cycle,educational materials,,,,,,,,,,,,,Jewish+Life/lifecycle/
Hebrew,Article,/Jewish+Agency+History,Zionism,educational materials,,,,,,,,,,,,,Jewish+Agency+History/
Hebrew,Article,/Jewish+Agency+History/Leaders,Leaders,educational materials,,,,,,,,,,,,,Jewish+Agency+History/Leaders
Hebrew,Article,/Jewish+Agency+History/Subjects,Zionism,educational materials,,,,,,,,,,,,,Jewish+Agency+History/Subjects
Hebrew,Article,/ivrit/Nivim,Hebrew,educational materials,,,,,,,,,,,,,ivrit/Nivim
Hebrew,Article,/parasha,Parsha,educational materials,,,,,,,,,,,,,parasha
Hebrew,Article,/parasha/breishit,Genesis,educational materials,,,,,,,,,,,,,parasha/breishit
Hebrew,Article,/parasha/shemot,Exodus,educational materials,,,,,,,,,,,,,parasha/shemot
Hebrew,Article,/parasha/vayikra,Leviticus,educational materials,,,,,,,,,,,,,parasha/vayikra
Hebrew,Article,/parasha/bamidbar,Numbers,educational materials,,,,,,,,,,,,,parasha/bamidbar
Hebrew,Article,/parasha/dvarim,Deuteronomy,educational materials,,,,,,,,,,,,,parasha/dvarim
Hebrew,Article,/TikunOlam/Chovat,Chovat Hatalmidim,educational materials,,,,,,,,,,,,,TikunOlam/Chovat
Hebrew,Article,/Nechama/Bereshit,Genesis,educational materials,,,,,,,,,,,,,Nechama/Bereshit
Hebrew,Article,/Nechama/Vayikra,Leviticus,educational materials,,,,,,,,,,,,,Nechama/Vayikra
Hebrew,Article,/Nechama/Bamidbar,Numbers,educational materials,,,,,,,,,,,,,Nechama/Bamidbar
Hebrew,Article,/Nechama/Dvarim,Deuteronomy,educational materials,,,,,,,,,,,,,Nechama/Dvarim
Hebrew,Article,/Department+Publications/Gilyonot,Nechama Leibowitz,educational materials,,,,,,,,,,,,,Department+Publications/Gilyonot
Hebrew,Article,/Jewish+Life/Gilyonot,Nechama Leibowitz,educational materials,,,,,,,,,,,,,Jewish+Life/Gilyonot
Hebrew,Article,/Board+of+Governors/Board+Plenary+resolutions,Plenary Resolutions,Board of Governors,,,,,,,,,,,,,Board+of+Governors/Board+Plenary+resolutions
Hebrew,Article,/Press/2013,News,News,,,,,,,,,,,,,Press/2013
Hebrew,Article,/Press/2011,News,News,,,,,,,,,,,,,Press/2011
Hebrew,Article,/Press/2010,News,News,,,,,,,,,,,,,Press/2010
Hebrew,Article,/Press/2009,News,News,,,,,,,,,,,,,Press/2009
Russian,Article,/News,News,News,,,,,,,,,,,,,News
Russian,Article,/Jewish+Life/Festivals,Holidays and Memorial Days,educational materials,,,,,,,,,,,,,Jewish+Life/Festivals
Russian,Article,/Festivals/Tishre,Tishrei,educational materials,,,,,,,,,,,,,Festivals/Tishre
Russian,Article,/Festivals/Tishre/Rosh+Hashana,Rosh Hashanah,educational materials,,,,,,,,,,,,,Festivals/Tishre/Rosh+Hashana
Russian,Article,/Festivals/Tishre/Sukot,Sukkot,educational materials,,,,,,,,,,,,,Festivals/Tishre/Sukot
Russian,Article,/Festivals/Tishre/Yom+Kipur,Yom Kippur,educational materials,,,,,,,,,,,,,Festivals/Tishre/Yom+Kipur
Russian,Article,/Festivals/10+BeTevet,Tenth of Tevet,educational materials,,,,,,,,,,,,,Festivals/10+BeTevet
Russian,Article,/Festivals/15+AVA,Tu b'Av,educational materials,,,,,,,,,,,,,Festivals/15+AVA
Russian,Article,/Festivals/Hanuka,Hanukkah,educational materials,,,,,,,,,,,,,Festivals/Hanuka
Russian,Article,/Festivals/Independence+Day,Independence Day,educational materials,,,,,,,,,,,,,Festivals/Independence+Day
Russian,Article,/Festivals/lag,Lag Ba'Omer,educational materials,,,,,,,,,,,,,Festivals/lag
Russian,Article,/Festivals/Ninth+Av,Ninth of Av,educational materials,,,,,,,,,,,,,Festivals/Ninth+Av
Russian,Article,/Festivals/Omer,Omer,educational materials,,,,,,,,,,,,,Festivals/Omer
Russian,Article,/Festivals/Pesach,Pesach,educational materials,,,,,,,,,,,,,Festivals/Pesach
Russian,Article,/Festivals/Purim,Purim,educational materials,,,,,,,,,,,,,Festivals/Purim
Russian,Article,/Festivals/Shavuot,Shavuot,educational materials,,,,,,,,,,,,,Festivals/Shavuot
Russian,Article,/Festivals/Tubish,Tu b'Shvat,educational materials,,,,,,,,,,,,,Festivals/Tubish
